250	2.07 	34.05
275	5.85 	37.43
300	14.97 	46.94
325	19.68 	49.7
350	36.80 	47.21
250	4.60 	18.07
275	17.20 	17.28
300	38.92 	19.6
325	56.38 	30.62
350	67.88 	39.1
250	9.7 	5.5
275	19.2 	8.04
300	29.3 	17.01
325	37.6 	28.72
350	48.9 	36.85
400	83.7 	53.43
450	86.4 	49.9
250	4.0 	9.62
275	12.1 	8.62
300	29.5 	10.72
325	43.3 	18.89
350	60.5 	27.25
400	88.4 	41.02
250	14.8 	1.96
275	12.4 	6.65
300	20.8 	10.12
325	28.3 	13.86
350	36.8 	18.75
400	76.0 	38.23
250	13.4 	3.3
275	12.8 	7.1
300	25.5 	7.18
350	55.8 	10.65
400	83.3 	37.33
250	19.7 	5.75
275	29.0 	6.56
300	40.0 	8.84
350	58.6 	18.64
400	76.0 	33.25
250	6.3 	5.63
275	8.8 	8.52
300	13.2 	13.82
350	31.7 	25.89
400	56.1 	41.42
250	2.1 	5.4
275	3.0 	9.68
300	4.7 	16.1
350	13.4 	31.04
400	40.8 	42.04
250	0.3 	2.19
275	1.0 	1.65
300	1.7 	2.17
350	9.0 	3.3
400	28.6 	10.29
250	0.2 	0.1
275	0.5 	1
300	1.6 	1.82
350	8.2 	4.35
400	32.6 	7.93
250	1.4 	6.17
275	3.5 	8.11
300	6.9 	11.22
350	19.9 	22.26
400	44.5 	36.3
250	1.3 	5.19
275	2.3 	7.62
300	4.1 	12.74
350	14.6 	23.46
400	40.0 	27.91
250	2.5 	1.89
275	5.3 	2.55
300	10.2 	3.61
350	24.0 	10.83
400	53.6 	22.3
250	1.4 	6.32
275	3.4 	8.25
300	6.7 	12.28
350	19.3 	25.97
400	43.6 	41.08
250	2.8 	3.26
275	4.4 	4.97
300	6.2 	9.32
350	16.2 	22.88
400	45.1 	38.7
250	0.4 	2.85
275	0.6 	5.35
300	1.1 	7.61
325	3.3 	7.74
350	6.0 	13.81
400	21.1 	21.21
250	0.5 	6.62
275	1.1 	6.62
300	3.0 	5.05
325	6.1 	8.33
350	9.6 	13.1
400	33.5 	21.45
250	2.1 	4.3
275	3.8 	5.06
300	5.8 	7.92
325	9.8 	11.69
350	15.9 	15.34
400	45.0 	25.83
250	2.8 	4.5
275	7.5 	4.79
300	12.6 	8.77
325	15.9 	16.06
350	27.0 	22.41
400	63.2 	30.48
250	4.4	4.08
275	7.9	6.62
300	11.7	12.86
325	17.8	18.45
350	30.2	25.05
400	69.4	38.17
