36.80 	12.46	47.21	18.66	9.22	1.69	10.76
67.88 	2.76	39.1	4.2	36.92	1.87	15.15
48.9 	2.85	36.85	7.23	38.29	3.51	11.27
60.5 	2.23	27.25	6.8	45	8.73	9.99
36.8 	3.11	18.75	16.16	48	4.36	9.62
55.8 	14.49	10.65	42.75	19.83	3.74	8.54
58.6 	2.28	18.64	8.23	45.04	3.24	22.57
31.7 	1.45	25.89	4.15	48.52	2.25	17.74
13.4 	2.84	31.04	3.75	39.29	2.09	20.99
9.0 	0.81	3.3	4.3	88.98	0.7	1.91
8.2 	7.61	4.35	85.83	0	0	2.21
19.9 	1.17	22.26	13.48	46.5	5.66	10.93
14.6 	2.53	23.46	26.42	30.99	3.52	13.08
24.0 	1.04	10.83	6.25	70.1	4.59	7.19
19.3 	1.22	25.97	4.4	48.32	2.44	17.65
16.2 	2.11	22.88	6.07	47.39	4.74	16.81
6.0 	1.81	13.81	20.27	53.38	4.64	6.09
9.6 	0.76	13.1	14.26	59.75	3.89	8.24
15.9 	1.57	15.34	15.03	53.41	4.14	10.51
27.0 	0.99	22.41	9.95	48.26	4.44	13.95
30.2	1.53	25.05	10.3	49.36	6.3	7.46
29.9 	4.68	39.04	8.79	30.86	3.95	12.68
