400	1	1	1.68	250
400	1	1	1.68	275
400	1	1	1.68	300
400	1	1	1.68	325
400	1	1	1.68	350
400	1	2	1.68	250
400	1	2	1.68	275
400	1	2	1.68	300
400	1	2	1.68	325
400	1	2	1.68	350
400	1	1	0.9	250
400	1	1	0.9	275
400	1	1	0.9	300
400	1	1	0.9	325
400	1	1	0.9	350
400	1	1	0.9	400
400	1	1	0.9	450
400	1	0.5	1.68	250
400	1	0.5	1.68	275
400	1	0.5	1.68	300
400	1	0.5	1.68	325
400	1	0.5	1.68	350
400	1	0.5	1.68	400
400	1	2	0.3	250
400	1	2	0.3	275
400	1	2	0.3	300
400	1	2	0.3	325
400	1	2	0.3	350
400	1	2	0.3	400
400	1	5	1.68	250
400	1	5	1.68	275
400	1	5	1.68	300
400	1	5	1.68	350
400	1	5	1.68	400
100	1	1	0.3	250
100	1	1	0.3	275
100	1	1	0.3	300
100	1	1	0.3	350
100	1	1	0.3	400
100	1	1	0.9	250
100	1	1	0.9	275
100	1	1	0.9	300
100	1	1	0.9	350
100	1	1	0.9	400
100	1	1	2.1	250
100	1	1	2.1	275
100	1	1	2.1	300
100	1	1	2.1	350
100	1	1	2.1	400
100	1	5	2.1	250
100	1	5	2.1	275
100	1	5	2.1	300
100	1	5	2.1	350
100	1	5	2.1	400
50	0	1	1.68	250
50	0	1	1.68	275
50	0	1	1.68	300
50	0	1	1.68	350
50	0	1	1.68	400
100	1	1	1.68	250
100	1	1	1.68	275
100	1	1	1.68	300
100	1	1	1.68	350
100	1	1	1.68	400
100	0.492537313	1	1.68	250
100	0.492537313	1	1.68	275
100	0.492537313	1	1.68	300
100	0.492537313	1	1.68	350
100	0.492537313	1	1.68	400
100	2.03030303	1	1.68	250
100	2.03030303	1	1.68	275
100	2.03030303	1	1.68	300
100	2.03030303	1	1.68	350
100	2.03030303	1	1.68	400
